+++++++2025-05-20 13:14:30,303 - uvicorn.error - INFO - Started server process [108743]
2025-05-20 13:49:51,213 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:49:51,213 - uvicorn.error - INFO - Finished server process [136445]
2025-05-20 13:49:52,016 - uvicorn.error - INFO - Started server process [136613]
2025-05-20 13:49:52,017 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:49:52,033 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:49:53,337 - uvicorn.error - INFO - Shutting down
2025-05-20 13:49:53,438 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:49:53,439 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:49:53,440 - uvicorn.error - INFO - Finished server process [136613]
2025-05-20 13:49:54,229 - uvicorn.error - INFO - Started server process [136646]
2025-05-20 13:49:54,229 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:49:54,244 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:49:55,247 - uvicorn.error - INFO - Shutting down
2025-05-20 13:49:55,348 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:49:55,349 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:49:55,349 - uvicorn.error - INFO - Finished server process [136646]
2025-05-20 13:49:56,116 - uvicorn.error - INFO - Started server process [136686]
2025-05-20 13:49:56,116 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:49:56,134 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:50:00,445 - uvicorn.error - INFO - Shutting down
2025-05-20 13:50:00,546 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:50:00,546 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:50:00,547 - uvicorn.error - INFO - Finished server process [136686]
2025-05-20 13:50:01,391 - uvicorn.error - INFO - Started server process [136805]
2025-05-20 13:50:01,391 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:50:01,406 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:50:04,917 - uvicorn.error - INFO - Shutting down
2025-05-20 13:50:05,019 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:50:05,021 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:50:05,022 - uvicorn.error - INFO - Finished server process [136805]
2025-05-20 13:50:05,815 - uvicorn.error - INFO - Started server process [136896]
2025-05-20 13:50:05,815 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:50:05,831 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:50:52,271 - uvicorn.error - INFO - Shutting down
2025-05-20 13:50:52,372 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:50:52,374 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:50:52,376 - uvicorn.error - INFO - Finished server process [136896]
2025-05-20 13:50:53,227 - uvicorn.error - INFO - Started server process [137524]
2025-05-20 13:50:53,227 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:50:53,243 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:51:04,872 - uvicorn.error - INFO - Shutting down
2025-05-20 13:51:04,973 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:51:04,974 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:51:04,974 - uvicorn.error - INFO - Finished server process [137524]
2025-05-20 13:51:05,808 - uvicorn.error - INFO - Started server process [137719]
2025-05-20 13:51:05,809 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:51:05,825 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:51:18,162 - uvicorn.error - INFO - Shutting down
2025-05-20 13:51:18,263 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:51:18,263 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:51:18,263 - uvicorn.error - INFO - Finished server process [137719]
2025-05-20 13:51:19,094 - uvicorn.error - INFO - Started server process [137932]
2025-05-20 13:51:19,095 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:51:19,110 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:52:27,226 - uvicorn.error - INFO - Shutting down
2025-05-20 13:52:27,327 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:52:27,330 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:52:27,331 - uvicorn.error - INFO - Finished server process [137932]
2025-05-20 13:52:28,254 - uvicorn.error - INFO - Started server process [138852]
2025-05-20 13:52:28,255 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:52:28,272 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:52:37,078 - uvicorn.access - INFO - 127.0.0.1:56914 - "GET /api/v1/users?skip=0&limit=100 HTTP/1.1" 200
2025-05-20 13:52:38,936 - uvicorn.access - INFO - 127.0.0.1:56914 - "GET /api/v1/users?skip=0&limit=100 HTTP/1.1" 200
2025-05-20 13:52:39,472 - uvicorn.access - INFO - 127.0.0.1:56914 - "GET /api/v1/users?skip=0&limit=100 HTTP/1.1" 200
2025-05-20 13:53:24,256 - uvicorn.error - INFO - Shutting down
2025-05-20 13:53:24,358 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:53:24,361 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:53:24,362 - uvicorn.error - INFO - Finished server process [138852]
2025-05-20 13:53:25,205 - uvicorn.error - INFO - Started server process [139665]
2025-05-20 13:53:25,205 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:53:25,221 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:53:26,425 - uvicorn.error - INFO - Shutting down
2025-05-20 13:53:26,526 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:53:26,526 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:53:26,526 - uvicorn.error - INFO - Finished server process [139665]
2025-05-20 13:53:27,329 - uvicorn.error - INFO - Started server process [139722]
2025-05-20 13:53:27,330 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:53:27,346 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:54:00,753 - uvicorn.error - INFO - Shutting down
2025-05-20 13:54:00,854 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:54:00,857 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:54:00,858 - uvicorn.error - INFO - Finished server process [139722]
2025-05-20 13:54:01,506 - uvicorn.error - INFO - Started server process [140198]
2025-05-20 13:54:01,506 - uvicorn.error - INFO - Waiting for application startup.
